tournament_id,event_id,tournament_name,season_year,start_date,end_date,course_id,purse
R2021002,R2021002,The American Express,2021,2021-01-21,2021-01-24,704,
R2021003,R2021003,Waste Management Phoenix Open,2021,2021-02-04,2021-02-07,510,
R2021004,R2021004,Farmers Insurance Open,2021,2021-01-28,2021-01-31,004,
R2021005,R2021005,AT&T Pebble Beach Pro-Am,2021,2021-02-11,2021-02-14,005,
R2021006,R2021006,Sony Open in Hawaii,2021,2021-01-14,2021-01-17,006,
R2021007,R2021007,The Genesis Invitational,2021,2021-02-18,2021-02-21,500,
R2021009,R2021009,Arnold Palmer Invitational presented by Mastercard,2021,2021-03-04,2021-03-07,009,
R2021010,R2021010,The Honda Classic,2021,2021-03-18,2021-03-21,734,
R2021011,R2021011,THE PLAYERS Championship,2021,2021-03-11,2021-03-14,011,
R2021012,R2021012,RBC Heritage,2021,2021-04-15,2021-04-18,012,
R2021013,R2021013,Wyndham Championship,2021,2021-08-12,2021-08-15,752,
R2021014,R2021014,Masters Tournament (2020),2021,2020-11-12,2020-11-15,014,
R2021016,R2021016,Sentry Tournament of Champions,2021,2021-01-07,2021-01-10,656,
R2021018,R2021018,Zurich Classic of New Orleans,2021,2021-04-22,2021-04-25,714,
R2021019,R2021019,AT&T Byron Nelson,2021,2021-05-13,2021-05-16,894,
R2021020,R2021020,Vivint Houston Open,2021,2020-11-05,2020-11-08,897,
R2021021,R2021021,Charles Schwab Challenge,2021,2021-05-27,2021-05-30,021,
R2021023,R2021023,the Memorial Tournament presented by Nationwide,2021,2021-06-03,2021-06-06,023,
R2021026,R2021026,U.S. Open (2020),2021,2020-09-17,2020-09-20,891,
R2021027,R2021027,THE NORTHERN TRUST,2021,2021-08-19,2021-08-22,886,
R2021028,R2021028,BMW Championship,2021,2021-08-26,2021-08-29,882,
R2021030,R2021030,John Deere Classic,2021,2021-07-08,2021-07-11,669,
R2021033,R2021033,PGA Championship,2021,2021-05-20,2021-05-23,697,
R2021034,R2021034,Travelers Championship,2021,2021-06-24,2021-06-27,503,
R2021041,R2021041,Valero Texas Open,2021,2021-04-01,2021-04-04,770,
R2021047,R2021047,Shriners Hospitals for Children Open,2021,2020-10-08,2020-10-11,538,
R2021054,R2021054,Sanderson Farms Championship,2021,2020-10-01,2020-10-04,746,
R2021058,R2021058,QBE Shootout,2021,2020-12-11,2020-12-13,678,
R2021060,R2021060,TOUR Championship,2021,2021-09-02,2021-09-05,688,
R2021100,R2021100,The Open Championship,2021,2021-07-15,2021-07-18,778,
R2021457,R2021457,Mayakoba Golf Classic presented by UNIFIN,2021,2020-12-03,2020-12-06,733,
R2021464,R2021464,Safeway Open,2021,2020-09-10,2020-09-13,552,
R2021470,R2021470,World Golf Championships-Dell Technologies Match Play,2021,2021-03-24,2021-03-28,185,
R2021472,R2021472,Barracuda Championship,2021,2021-08-05,2021-08-08,890,
R2021473,R2021473,World Golf Championships-Workday Championship at The Concession,2021,2021-02-25,2021-02-28,898,
R2021475,R2021475,Valspar Championship,2021,2021-04-29,2021-05-02,665,
R2021476,R2021476,World Golf Championships-FedEx St. Jude Invitational,2021,2021-08-05,2021-08-08,513,
R2021480,R2021480,Wells Fargo Championship,2021,2021-05-06,2021-05-09,872,
R2021483,R2021483,Puerto Rico Open,2021,2021-02-25,2021-02-28,742,
R2021493,R2021493,The RSM Classic,2021,2020-11-19,2020-11-22,776,
R2021518,R2021518,Barbasol Championship,2021,2021-07-15,2021-07-18,884,
R2021519,R2021519,Olympic Men's Golf Competition,2021,2021-07-29,2021-08-01,887,
R2021521,R2021521,THE CJ CUP @ SHADOW CREEK,2021,2020-10-15,2020-10-18,878,
R2021522,R2021522,Corales Puntacana Resort & Club Championship (2020),2021,2020-09-24,2020-09-27,244,
R2021524,R2021524,Rocket Mortgage Classic,2021,2021-07-01,2021-07-04,876,
R2021525,R2021525,3M Open,2021,2021-07-22,2021-07-25,883,
R2021527,R2021527,ZOZO CHAMPIONSHIP @ SHERWOOD,2021,2020-10-22,2020-10-25,881,
R2021528,R2021528,Bermuda Championship,2021,2020-10-29,2020-11-01,765,
R2021534,R2021534,Corales Puntacana Resort & Club Championship (2021),2021,2021-03-25,2021-03-28,244,
R2021535,R2021535,U.S. Open (2021),2021,2021-06-17,2021-06-20,744,
R2021536,R2021536,Masters Tournament (2021),2021,2021-04-08,2021-04-11,014,
R2021538,R2021538,Palmetto Championship at Congaree,2021,2021-06-10,2021-06-13,902,
R2022002,R2022002,The American Express,2022,2022-01-20,2022-01-23,704,
R2022003,R2022003,WM Phoenix Open,2022,2022-02-10,2022-02-13,510,
R2022004,R2022004,Farmers Insurance Open,2022,2022-01-26,2022-01-29,004,
R2022005,R2022005,AT&T Pebble Beach Pro-Am,2022,2022-02-03,2022-02-06,005,
